LAST SEEN   TYPE      REASON                           OBJECT                                          MESSAGE
7m50s       Normal    Scheduled                        pod/allspark-ws-proxy-7f8599bd6f-bqzns          Successfully assigned vmware-system-tsm/allspark-ws-proxy-7f8599bd6f-bqzns to ip-192-168-93-186.us-east-2.compute.internal
7m47s       Normal    Pulling                          pod/allspark-ws-proxy-7f8599bd6f-bqzns          Pulling image "public.ecr.aws/v6x6b8s5/ws-client:v3.3.6"
7m45s       Normal    Pulled                           pod/allspark-ws-proxy-7f8599bd6f-bqzns          Successfully pulled image "public.ecr.aws/v6x6b8s5/ws-client:v3.3.6" in 1.61214475s (1.612170838s including waiting)
7m45s       Normal    Created                          pod/allspark-ws-proxy-7f8599bd6f-bqzns          Created container allspark-ws-proxy
7m45s       Normal    Started                          pod/allspark-ws-proxy-7f8599bd6f-bqzns          Started container allspark-ws-proxy
7m50s       Normal    SuccessfulCreate                 replicaset/allspark-ws-proxy-7f8599bd6f         Created pod: allspark-ws-proxy-7f8599bd6f-bqzns
7m50s       Normal    ScalingReplicaSet                deployment/allspark-ws-proxy                    Scaled up replica set allspark-ws-proxy-7f8599bd6f to 1
7m2s        Normal    Scheduled                        pod/check-client-crds-8xq6x                     Successfully assigned vmware-system-tsm/check-client-crds-8xq6x to ip-192-168-93-186.us-east-2.compute.internal
7m1s        Normal    Pulling                          pod/check-client-crds-8xq6x                     Pulling image "public.ecr.aws/v6x6b8s5/vmwareallspark/kubectl:1.16"
6m58s       Normal    Pulled                           pod/check-client-crds-8xq6x                     Successfully pulled image "public.ecr.aws/v6x6b8s5/vmwareallspark/kubectl:1.16" in 3.659623386s (3.659643708s including waiting)
6m58s       Normal    Created                          pod/check-client-crds-8xq6x                     Created container check-client-crds
6m57s       Normal    Started                          pod/check-client-crds-8xq6x                     Started container check-client-crds
7m2s        Normal    SuccessfulCreate                 job/check-client-crds                           Created pod: check-client-crds-8xq6x
6m48s       Normal    Completed                        job/check-client-crds                           Job completed
7m49s       Normal    Scheduled                        pod/config-service-674dc78b7d-x7tbn             Successfully assigned vmware-system-tsm/config-service-674dc78b7d-x7tbn to ip-192-168-115-127.us-east-2.compute.internal
7m48s       Warning   FailedMount                      pod/config-service-674dc78b7d-x7tbn             MountVolume.SetUp failed for volume "meshconfig-volume" : failed to sync configmap cache: timed out waiting for the condition
7m48s       Warning   FailedMount                      pod/config-service-674dc78b7d-x7tbn             MountVolume.SetUp failed for volume "logging-volume" : failed to sync configmap cache: timed out waiting for the condition
7m48s       Warning   FailedMount                      pod/config-service-674dc78b7d-x7tbn             MountVolume.SetUp failed for volume "controller-kubeconfig" : failed to sync configmap cache: timed out waiting for the condition
7m48s       Warning   FailedMount                      pod/config-service-674dc78b7d-x7tbn             MountVolume.SetUp failed for volume "config-service-templates" : failed to sync configmap cache: timed out waiting for the condition
7m47s       Normal    Pulling                          pod/config-service-674dc78b7d-x7tbn             Pulling image "public.ecr.aws/v6x6b8s5/config-service:v1.1.13"
7m43s       Normal    Pulled                           pod/config-service-674dc78b7d-x7tbn             Successfully pulled image "public.ecr.aws/v6x6b8s5/config-service:v1.1.13" in 4.086787431s (4.086806105s including waiting)
7m43s       Normal    Created                          pod/config-service-674dc78b7d-x7tbn             Created container config-service
7m43s       Normal    Started                          pod/config-service-674dc78b7d-x7tbn             Started container config-service
7m49s       Normal    SuccessfulCreate                 replicaset/config-service-674dc78b7d            Created pod: config-service-674dc78b7d-x7tbn
7m49s       Normal    ScalingReplicaSet                deployment/config-service                       Scaled up replica set config-service-674dc78b7d to 1
6m23s       Normal    Scheduled                        pod/installer-job-p7jvv                         Successfully assigned vmware-system-tsm/installer-job-p7jvv to ip-192-168-93-186.us-east-2.compute.internal
6m22s       Normal    Pulling                          pod/installer-job-p7jvv                         Pulling image "public.ecr.aws/v6x6b8s5/vmwareallspark/service-mesh-manifests:tsm-v17.3.0"
6m18s       Normal    Pulled                           pod/installer-job-p7jvv                         Successfully pulled image "public.ecr.aws/v6x6b8s5/vmwareallspark/service-mesh-manifests:tsm-v17.3.0" in 4.501073664s (4.501083166s including waiting)
6m18s       Normal    Created                          pod/installer-job-p7jvv                         Created container service-mesh-manifests
6m18s       Normal    Started                          pod/installer-job-p7jvv                         Started container service-mesh-manifests
6m8s        Normal    Pulling                          pod/installer-job-p7jvv                         Pulling image "public.ecr.aws/v6x6b8s5/vmwareallspark/service-mesh-installer:v0.4.0"
6m7s        Normal    Pulled                           pod/installer-job-p7jvv                         Successfully pulled image "public.ecr.aws/v6x6b8s5/vmwareallspark/service-mesh-installer:v0.4.0" in 1.445085935s (1.44510725s including waiting)
6m7s        Normal    Created                          pod/installer-job-p7jvv                         Created container service-mesh-installer
6m6s        Normal    Started                          pod/installer-job-p7jvv                         Started container service-mesh-installer
6m23s       Normal    SuccessfulCreate                 job/installer-job                               Created pod: installer-job-p7jvv
5m8s        Normal    Completed                        job/installer-job                               Job completed
7m50s       Normal    Scheduled                        pod/k8s-cluster-manager-bb764bc84-ggbvb         Successfully assigned vmware-system-tsm/k8s-cluster-manager-bb764bc84-ggbvb to ip-192-168-8-227.us-east-2.compute.internal
7m49s       Normal    Pulling                          pod/k8s-cluster-manager-bb764bc84-ggbvb         Pulling image "public.ecr.aws/v6x6b8s5/k8s-cluster-manager:v6.4.9"
7m47s       Normal    Pulled                           pod/k8s-cluster-manager-bb764bc84-ggbvb         Successfully pulled image "public.ecr.aws/v6x6b8s5/k8s-cluster-manager:v6.4.9" in 2.078532024s (2.07855142s including waiting)
7m47s       Normal    Created                          pod/k8s-cluster-manager-bb764bc84-ggbvb         Created container k8s-cluster-manager
7m47s       Normal    Started                          pod/k8s-cluster-manager-bb764bc84-ggbvb         Started container k8s-cluster-manager
7m50s       Normal    SuccessfulCreate                 replicaset/k8s-cluster-manager-bb764bc84        Created pod: k8s-cluster-manager-bb764bc84-ggbvb
